"","Sample_num","Sample_ID","d18O.correct","d18O.sigma","d18O.method","dD.correct","dD.sigma","dD.method"
"1","STND1","WAIS",-35.1774240062418,0.0196720139316228,"Curve",-282.307928932247,0.26668330476488,"Curve"
"2","STND2","CIFA",-16.8132486174996,0.0406934284115179,"Curve",-125.557333311891,0.193504272691506,"Curve"
"3","1","1A",-12.2811086185963,0.0144842236222502,"Curve",-94.4244031571762,0.0798769887597899,"Mix"
"4","2","1B",-12.5216511907366,0.02352170983014,"Mix",-95.8728172085933,0.0916904893286798,"Mix"
"5","3","1C",-12.6268591619609,0.0941235889668461,"Mix",-96.1743897627885,0.37298972282535,"Mix"
"6","4","1D",-12.5753216118701,0.0788183565759496,"Mix",-96.4449996888038,0.233894384997445,"Mix"
"7","5","1E",-11.4912810174713,0.014112281826972,"Curve",-87.8609907748064,0.104783805205456,"Mix"
"8","6","1F",-11.9438033650735,0.00964365076099397,"Mix",-91.8644316753981,0.280969007780825,"Mix"
"9",NA,NA,-11.8365816007511,0.0190673149656696,"Mix",-90.257677003653,0.172759647583952,"Mix"
"10","7","1H",-12.7833650038397,0.0295384636251336,"Mix",-97.2210521702948,0.22800657885244,"Mix"
"11","8","1I",-12.8038889548669,0.0119556472012194,"Mix",-97.350765806293,0.0263869443728047,"Mix"
"12","9","1J",-12.7037729356001,0.0348230646746292,"Mix",-97.5924592030949,0.12242659365244,"Mix"
"13","10","1K",-12.7300735570979,0.03753359606184,"Mix",-97.2425749259657,0.127513806442019,"Mix"
"14","11","1L",-12.6963266426463,0.0030138568866709,"Mix",-97.575241144638,0.0817894909712524,"Mix"
"15","12","1M",-12.604687715225,0.0542392462459939,"Mix",-97.9910695030192,0.140819994437332,"Mix"
"16","13","1N",-12.6190427178324,0.0323325816063819,"Mix",-97.0888661607791,0.365730461998079,"Mix"
"17","14","1O",-12.7242429456083,0.0326659226105753,"Mix",-97.045162845349,0.221793118693975,"Mix"
"18","15","1P",-12.8266904834078,0.0174290227303009,"Mix",-98.4461994028103,0.0786139035625049,"Mix"
"19","16","1Q",-12.804482854543,0.0547454335995239,"Mix",-97.3182973698561,0.224827897142104,"Mix"
"20","17","1R",-12.9795453729395,0.0280182232365555,"Mix",-99.0400221885892,0.196257643163275,"Mix"
"21","18","1S",-12.5000423674819,0.0623438048245364,"Mix",-96.5592438434772,0.385974524202495,"Mix"
"22","19","1T",-13.151245636649,0.0702016440928093,"Mix",-99.4012222671009,0.400007734300218,"Mix"
"23","20","1U",-12.9641866467955,0.0862243923338014,"Mix",-98.4423551655239,0.195475275503923,"Mix"
"24","21","1V",-13.2446135214786,0.051558219519299,"Mix",-102.545048318981,0.312570225442754,"Mix"
"25","22","1W",-14.0438595177713,0.0244212168683966,"Mix",-106.81254458599,0.0773486425220231,"Mix"
"26","QC1","CIFA",-16.6870185072641,0.0178385027587866,"Curve",-125.306937020317,0.114974725483486,"Mix"
"27","23","2A",-14.2313714702755,0.0280824769024349,"Curve",-108.869619591242,0.401545789211321,"Mix"
"28","24","2B",-13.8047288164039,0.0334318336320326,"Mix",-105.065741445773,0.499450343711307,"Mix"
"29","25","2C",-13.7192219280858,0.04327552233461,"Mix",-105.488469202877,0.25545449692657,"Mix"
"30","26","2D",-13.3644431754328,0.033690070248269,"Mix",-102.381686958086,0.132490801567504,"Mix"
"31","27","2E",-13.354359596188,0.0263972062915754,"Mix",-102.73572348197,0.045351405711388,"Mix"
"32","28","2F",-13.3928649879202,0.0322616258114805,"Mix",-101.680626049576,0.348751971320578,"Mix"
"33","29","2G",-13.2237102521563,0.0771513663737285,"Mix",-100.125099002183,0.602104763171117,"Mix"
"34","30","2H",-13.0356204321805,0.0939648648875387,"Mix",-99.6200136558493,0.459910521188637,"Mix"
"35","31","2I",-12.9015661507897,0.0172355011531417,"Mix",-98.171341691716,0.248362176736579,"Mix"
"36","32","2J",-12.6116304788208,0.0296046871289003,"Mix",-96.6319932409649,0.046540976569044,"Mix"
"37","33","2K",-12.7774550990304,0.00861079748532821,"Mix",-96.9180836099996,0.180769420349048,"Mix"
"38","34","2L",-12.6822716967631,0.028070224438006,"Mix",-97.0117959404583,0.059324847239572,"Mix"
"39","35","2M",-13.2423051195247,0.0254497053028107,"Mix",-100.213507838831,0.0835442746891188,"Mix"
"40","36","2N",-13.7034146620154,0.0150996688705414,"Mix",-103.487028107158,0.0871919577713549,"Mix"
"41","37","2O",-14.3387588501138,0.0187121840877358,"Mix",-108.530500394434,0.170778365140316,"Mix"
"42","38","2P",-15.0178662200409,0.0361440981812152,"Mix",-113.711213419934,0.27963640827568,"Mix"
"43","39","2Q",-15.1187698695775,0.0506624861213907,"Mix",-114.657484035548,0.0518774597810371,"Mix"
"44","40","2R",-15.8597401836495,0.0313222498127656,"Mix",-120.24380878158,0.128389138299684,"Mix"
"45","STND1","WAIS",-35.1873254859273,0.0246339413870057,"Curve",-282.306503595095,0.217202490653394,"Curve"
"46","STND2","CIFA",-16.8092660380316,0.0327654707827421,"Curve",-125.558977758527,0.129387772602323,"Curve"
